Timestamp,I have good working relationships with my co-workers.,There is good communication between me and my supervisor. ,Conflicts are resolved in a positive and constructive manner.,I feel favoritism is not a problem in my department.,My Supervisor works to improve communications in all directions and does a good job of sharing information. ,My skills and abilities match the work I do.,I look for another job outside the company. ,The management at Varks.am cares about employees․ ,Varks.am focuses on providing excellent customer service.,The pay at Varks.am is competitive to that of similar organizations.,My work arrangements allow me to balance my personal life with my work.,"Overall, I am satisfied with my work. ",My current workplace is close to where I live.,"If I get non-monetary rewards (such as insurance, training, ""best employee of the month"" reward), I will feel satisfied and will work harder.","If I get monetary bonuses when I serve more customers, I will feel satisfied and work harder.",I will recommend a friend/relative to work at Varks.am․,I will recommend a friend/relative to use Varks.am services in case of a loan need.,I foresee myself working here one year from now.,I feel stressed at work.,Things that will motivate me to stay,I enjoy coming to work. ,Reasons why I want to stay here.
2017/11/24 12:39:58 PM GMT+4,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly disagree ,Strongly agree,Strongly Agree ,Strongly agree,Agree,Strongly agree,Yes,Agree,,9,10,Yes,,,Agree,Good working staff;Promotion opportunities ;I love communicating with customers 
2017/11/24 12:40:00 PM GMT+4,Agree,Agree ,Disagree,Disagree ,Strongly disagree  ,Agree,Agree ,Strongly disagree,Strongly Disagree ,Disagree,Disagree,Disagree,No,,Agree ,1,1,No,Strongly agree,Higher salary;Better Working conditions;Fixed working schedule;Promotion opportunities;Existence of reward system,,
2017/11/24 12:41:39 PM GMT+4,Strongly Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly disagree ,Agree ,Strongly Agree ,Agree,Agree,Strongly agree,Yes,Agree,,10,9,Yes,,,Agree,Fair Pay;Location of the branch ;Good working staff ;Good communication with my supervisor ;Promotion opportunities ;I love communicating with customers
2017/11/24 12:41:43 PM GMT+4,Agree,Agree ,Agree,Agree,Agree,Disagree  ,Disagree ,Agree ,Agree,Disagree,Agree,Disagree,Yes,Agree,,10,10,Yes,,,Agree,Good working staff 
2017/11/24 12:41:57 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Disagree ,Agree,Disagree  ,Agree ,Disagree ,Strongly Disagree ,Agree,Disagree,Disagree,Yes,Strongly agree ,,4,1,Yes,,,Disagree,
2017/11/24 12:42:45 PM GMT+4,Strongly Agree,Strongly agree,Agree,Disagree ,Strongly agree,Agree,Strongly disagree ,Agree ,Strongly Agree ,Agree,Agree,Strongly agree,No,,Agree ,9,7,Yes,,,Strongly agree,Good working staff 
2017/11/24 12:42:45 PM GMT+4,Agree,Strongly agree,Strongly agree,Disagree ,Agree,Strongly agree,Disagree ,Agree ,Strongly Agree ,Agree,Agree,Agree ,No,,Strongly agree,6,6,Yes,,,Agree,"Good working staff ;Good communication with my supervisor ;I am just a fresh graduate with no work-experience, so I will stay here a little bit longer to have this in my CV."
2017/11/24 12:43:44 PM GMT+4,Strongly Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree ,Agree ,Agree,Agree,Agree,Agree ,Yes,Agree,,10,10,Yes,,,Agree,Flexible working hours ;Good working staff ;Promotion opportunities ;I love communicating with customers 
2017/11/24 12:44:13 PM GMT+4,Strongly Agree,Agree ,Agree,Agree,Agree,Agree,Disagree ,Agree ,Strongly Agree ,Agree,Agree,Agree ,No,,,10,10,Yes,,,Agree,Fair Pay;Flexible working hours ;Good working staff 
2017/11/24 12:44:28 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Agree,Disagree ,Agree,Strongly disagree ,Strongly agree,Agree,Agree,Agree,Strongly agree,No,,,10,8,Yes,,,Strongly agree,"Fair Pay;Flexible working hours ;Good working staff ;Good communication with my supervisor ;Promotion opportunities;I love communicating with customers ;I am just a fresh graduate with no work-experience, so I will stay here a little bit longer to have this in my CV."
